code;libelle
01096;CHAVEYRIAT
01097;CHAVORNAY
01098;CHAZEY BONS
01099;CHAZEY S AIN
01100;CHEIGNIEU LA BALME
01101;CHEVILLARD
01102;CHEVROUX
01103;CHEVRY
01104;CHEZERY FORENS
01105;CIVRIEUX
01106;CIZE
01107;CLEYZIEU
01108;COLIGNY
01109;COLLONGES
01110;COLOMIEU
01111;CONAND
01112;CONDAMINE
01113;CONDEISSIAT
01114;CONFORT
01115;CONFRANCON
01116;CONTREVOZ
01117;CONZIEU
01118;CORBONOD
01119;CORCELLES
01121;CORLIER
01122;CORMARANCHE EN BUGEY
01123;CORMORANCHE S SAONE
01124;CORMOZ
01125;CORVEISSIAT
01127;COURMANGOUX
01128;COURTES
01129;CRANS
01130;CRAS S REYSSOUZE
01133;CRESSIN ROCHEFORT
01134;CROTTET
01135;CROZET
01136;CRUZILLES LES MEPILLAT
01138;CULOZ
01139;CURCIAT DONGALON
01140;CURTAFOND
01141;CUZIEU
01142;DAGNEUX
01143;DIVONNE LES BAINS
01144;DOMMARTIN
01145;DOMPIERRE S VEYLE
01146;DOMPIERRE S CHALARONNE
01147;DOMSURE
01148;DORTAN
01149;DOUVRES
01150;DROM
01151;DRUILLAT
01152;ECHALLON
01153;ECHENEVEX
01154;ETREZ
01155;EVOSGES
01156;FARAMANS
01157;FAREINS
01158;FARGES
01159;FEILLENS
01160;FERNEY VOLTAIRE
01162;FLAXIEU
01163;FOISSIAT
01165;AMAREINS FRANCHELEINS CESSEI
01166;FRANS
01167;GARNERANS
01169;GENOUILLEUX
01170;GEOVREISSIAT
01171;GEOVREISSET
01172;GERMAGNAT
01173;GEX
01174;GIRON
01175;GORREVOD
01176;LE GRAND ABERGEMENT
01177;GRAND CORENT
01179;GRIEGES
01180;GRILLY
01181;GROISSIAT
01182;GROSLEE
01183;GUEREINS
01184;HAUTECOURT ROMANECHE
01185;HAUTEVILLE LOMPNES
01186;HOSTIAS
01187;HOTONNES
01188;ILLIAT
01189;INJOUX GENISSIAT
01190;INNIMOND
01191;IZENAVE
01192;IZERNORE
01193;IZIEU
01194;JASSANS RIOTTIER
01195;JASSERON
01196;JAYAT
01197;JOURNANS
01198;JOYEUX
01199;JUJURIEUX
01200;LABALME
01202;LAGNIEU
01203;LAIZ
01204;LALLEYRIAT
01205;LANCRANS
01206;LANTENAY
01207;LAPEYROUSE
01208;LAVOURS
01209;LEAZ
01210;LELEX
01211;LENT
01212;LESCHEROUX
01213;LEYMENT
01214;LEYSSARD
01215;LHOPITAL
01216;LHUIS
01218;LOCHIEU
01219;LOMPNAS
01221;LOMPNIEU
01224;LOYETTES
01225;LURCY
01227;MAGNIEU
01228;MAILLAT
01229;MALAFRETAZ
01230;MANTENAY MONTLIN
01231;MANZIAT
01232;MARBOZ
01233;MARCHAMP
01234;MARIGNIEU
01235;MARLIEUX
01236;MARSONNAS
01237;MARTIGNAT
01238;MASSIEUX
01239;MASSIGNIEU DE RIVES
01240;MATAFELON GRANGES
01241;MEILLONNAS
01242;MERIGNAT
01243;MESSIMY S SAONE
01244;MEXIMIEUX
01245;BOHAS MEYRIAT RIGNAT
01246;MEZERIAT
01247;MIJOUX
01248;MIONNAY
01249;MIRIBEL
01250;MISERIEUX
01252;MOGNENEINS
01254;MONTAGNAT
01255;MONTAGNIEU
01257;MONTANGES
01258;MONTCEAUX
01259;MONTCET
01260;LE MONTELLIER
01261;MONTHIEUX
01262;MONTLUEL
01263;MONTMERLE S SAONE
01264;MONTRACOL
01265;MONTREAL LA CLUSE
01266;MONTREVEL EN BRESSE
01267;NURIEUX VOLOGNAT
01268;MURS ET GELIGNIEUX
01269;NANTUA
01271;NATTAGES
01272;NEUVILLE LES DAMES
01273;NEUVILLE S AIN
01274;LES NEYROLLES
01275;NEYRON
01276;NIEVROZ
01277;NIVOLLET MONTGRIFFON
01279;ONCIEU
01280;ORDONNAZ
01281;ORNEX
01282;OUTRIAZ
01283;OYONNAX
01284;OZAN
01285;PARCIEUX
01286;PARVES
01288;PERON
01289;PERONNAS
01290;PEROUGES
01291;PERREX
01292;LE PETIT ABERGEMENT
01293;PEYRIAT
01294;PEYRIEU
01295;PEYZIEUX S SAONE
01296;PIRAJOUX
01297;PIZAY
01298;PLAGNE
01299;LE PLANTAY
01300;LE POIZAT
01301;POLLIAT
01302;POLLIEU
01303;PONCIN
01304;PONT D AIN
01305;PONT DE VAUX
01306;PONT DE VEYLE
01307;PORT
01308;POUGNY
01309;POUILLAT
01310;PREMEYZEL
01311;PREMILLIEU
01312;PRESSIAT
01313;PREVESSIN MOENS
01314;PRIAY
01316;PUGIEU
01317;RAMASSE
01318;RANCE
01319;RELEVANT
01320;REPLONGES
01321;REVONNAS
01322;REYRIEUX
01323;REYSSOUZE
01325;RIGNIEUX LE FRANC
01328;ROMANS
01329;ROSSILLON
01330;RUFFIEU
01331;ST ALBAN
01332;ST ANDRE DE BAGE
01333;ST ANDRE DE CORCY
01334;ST ANDRE D HUIRIAT
01335;ST ANDRE LE BOUCHOUX
01336;ST ANDRE S VIEUX JONC
01337;ST BENIGNE
01338;ST BENOIT
01339;ST BERNARD
01340;ST BOIS
01341;ST CHAMP
01342;STE CROIX
01343;ST CYR S MENTHON
01344;ST DENIS LES BOURG
01345;ST DENIS EN BUGEY
01346;ST DIDIER D AUSSIAT
01347;ST DIDIER DE FORMANS
01348;ST DIDIER S CHALARONNE
01349;ST ELOI
01350;ST ETIENNE DU BOIS
01351;ST ETIENNE S CHALARONNE
01352;ST ETIENNE S REYSSOUZE
01353;STE EUPHEMIE
01354;ST GENIS POUILLY
01355;ST GENIS S MENTHON
01356;ST GEORGES S RENON
01357;ST GERMAIN DE JOUX
01358;ST GERMAIN LES PAROISSES
01359;ST GERMAIN S RENON
01360;ST JEAN DE GONVILLE
01361;ST JEAN DE NIOST
01362;ST JEAN DE THURIGNEUX
01363;ST JEAN LE VIEUX
01364;ST JEAN S REYSSOUZE
01365;ST JEAN S VEYLE
01366;STE JULIE
01367;ST JULIEN S REYSSOUZE
01368;ST JULIEN S VEYLE
01369;ST JUST
01370;ST LAURENT S SAONE
01371;ST MARCEL
01372;ST MARTIN DE BAVEL
01373;ST MARTIN DU FRENE
01374;ST MARTIN DU MONT
01375;ST MARTIN LE CHATEL
01376;ST MAURICE DE BEYNOST
01378;ST MAURICE DE GOURDANS
01379;ST MAURICE DE REMENS
01380;ST NIZIER LE BOUCHOUX
01381;ST NIZIER LE DESERT
01382;STE OLIVE
01383;ST PAUL DE VARAX
01384;ST RAMBERT EN BUGEY
01385;ST REMY
01386;ST SORLIN EN BUGEY
01387;ST SULPICE
01388;ST TRIVIER DE COURTES
01389;ST TRIVIER S MOIGNANS
01390;ST VULBAS
01391;SALAVRE
01392;SAMOGNAT
01393;SANDRANS
01396;SAULT BRENAZ
01397;SAUVERNY
01398;SAVIGNEUX
01399;SEGNY
01400;SEILLONNAZ
01401;SERGY
01402;SERMOYER
01403;SERRIERES DE BRIORD
01404;SERRIERES S AIN
01405;SERVAS
01406;SERVIGNAT
01407;SEYSSEL
01408;SIMANDRE
01409;SONGIEU
01410;SONTHONNAX LA MONTAGNE
01411;SOUCLIN
01412;SULIGNAT
01413;SURJOUX
01414;SUTRIEU
01415;TALISSIEU
01416;TENAY
01417;THEZILLIEU
01418;THIL
01419;THOIRY
01420;THOISSEY
01421;TORCIEU
01422;TOSSIAT
01423;TOUSSIEUX
01424;TRAMOYES
01425;LA TRANCLIERE
01426;TREFFORT CUISIAT
01427;TREVOUX
01428;VALEINS
01429;VANDEINS
01430;VARAMBON
01431;VAUX EN BUGEY
01432;VERJON
01433;VERNOUX
01434;VERSAILLEUX
01435;VERSONNEX
01436;VESANCY
01437;VESCOURS
01439;VESINES
01441;VIEU D IZENAVE
01442;VIEU
01443;VILLARS LES DOMBES
01444;VILLEBOIS
01445;VILLEMOTIER
01446;VILLENEUVE
01447;VILLEREVERSURE
01448;VILLES
01449;VILLETTE
01450;VILLIEU LOYES MOLLON
01451;VIRIAT
01452;VIRIEU LE GRAND
01453;VIRIEU LE PETIT
01454;VIRIGNIN
01456;VONGNES
01457;VONNAS
02001;ABBECOURT
02002;ACHERY
02003;ACY
02004;AGNICOURT ET SECHELLES
02005;AGUILCOURT
02006;AISONVILLE ET BERNOVILLE
02007;AIZELLES
02008;AIZY JOUY
02009;ALAINCOURT
02010;ALLEMANT
02011;AMBLENY
02012;AMBRIEF
02013;AMIFONTAINE
02014;AMIGNY ROUY
02015;ANCIENVILLE
02016;ANDELAIN
02017;ANGUILCOURT LE SART
02018;ANIZY LE CHATEAU
02019;ANNOIS
02020;ANY MARTIN RIEUX
02021;ARCHON
02022;ARCY STE RESTITUE
02023;ARMENTIERES S OURCQ
02024;ARRANCY
02025;ARTEMPS
02026;ARTONGES
02027;ASSIS S SERRE
02028;ATHIES SS LAON
02029;ATTILLY
02030;AUBENCHEUL AUX BOIS
02031;AUBENTON
02032;AUBIGNY AUX KAISNES
02033;AUBIGNY EN LAONNOIS
02034;AUDIGNICOURT
02035;AUDIGNY
02036;AUGY
02037;AULNOIS SS LAON
02038;LES AUTELS
02039;AUTREMENCOURT
02040;AUTREPPES
02041;AUTREVILLE
02042;AZY S MARNE
02043;BAGNEUX
02044;BANCIGNY
02046;BARENTON BUGNY
02047;BARENTON CEL
02048;BARENTON S SERRE
02049;BARISIS
02050;BARZY EN THIERACHE
02051;BARZY S MARNE
02052;BASSOLES AULERS
02053;BAULNE EN BRIE
02054;BAZOCHES S VESLES
02055;BEAUME
02056;BEAUMONT EN BEINE
02057;BEAUREVOIR
02058;BEAURIEUX
02059;BEAUTOR
02060;BEAUVOIS EN VERMANDOIS
02061;BECQUIGNY
02062;BELLEAU
02063;BELLENGLISE
02064;BELLEU
02065;BELLICOURT
02066;BENAY
02067;BERGUES S SAMBRE
02068;BERLANCOURT
02069;BERLISE
02070;BERNOT
02071;BERNY RIVIERE
02072;BERRIEUX
02073;BERRY AU BAC
02074;BERTAUCOURT EPOURDON
02075;BERTHENICOURT
02076;BERTRICOURT
02077;BERZY LE SEC
02078;BESME
02079;BESMONT
02080;BESNY ET LOIZY
02081;BETHANCOURT EN VAUX
02082;BEUGNEUX
02083;BEUVARDES
02084;BEZU LE GUERY
02085;BEZU ST GERMAIN
02086;BICHANCOURT
02087;BIEUXY
02088;BIEVRES
02089;BILLY S AISNE
02090;BILLY S OURCQ
02091;BLANZY LES FISMES
02093;BLERANCOURT
02094;BLESMES
02095;BOHAIN EN VERMANDOIS
02096;BOIS LES PARGNY
02097;BONCOURT
02098;BONNEIL
02099;BONNESVALYN
02100;BONY
02101;BOSMONT S SERRE
02102;BOUCONVILLE VAUCLAIR
02103;BOUE
02104;BOUFFIGNEREUX
02105;BOURESCHES
02106;BOURG ET COMIN
02107;BOURGUIGNON SS COUCY
02108;BOURGUIGNON SS MONTBAVIN
02109;LA BOUTEILLE
02110;BRAINE
02111;BRANCOURT EN LAONNOIS
02112;BRANCOURT LE GRAND
02114;BRASLES
02115;BRAYE EN LAONNOIS
02116;BRAYE EN THIERACHE
02117;BRAY ST CHRISTOPHE
02118;BRAYE
02119;BRECY
02120;BRENELLE
02121;BRENY
02122;BRIE
02123;BRISSAY CHOIGNY
02124;BRISSY HAMEGICOURT
02125;BRUMETZ
02126;BRUNEHAMEL
02127;BRUYERES S FERE
02128;BRUYERES ET MONTBERAULT
02129;BRUYS
02130;BUCILLY
02131;BUCY LE LONG
02132;BUCY LES CERNY
02133;BUCY LES PIERREPONT
02134;BUIRE
02135;BUIRONFOSSE
02136;BURELLES
02137;BUSSIARES
02138;BUZANCY
02139;CAILLOUEL CREPIGNY
02140;CAMELIN
02141;LA CAPELLE
02142;CASTRES
02143;LE CATELET
02144;CAULAINCOURT
02145;CAUMONT
02146;CELLES LES CONDE
02147;LA CELLE SS MONTMIRAIL
02148;CELLES S AISNE
02149;CERIZY
02150;CERNY EN LAONNOIS
02151;CERNY LES BUCY
02152;CERSEUIL
02153;CESSIERES
02154;CHACRISE
02155;CHAILLEVOIS
02156;CHALANDRY
02157;CHAMBRY
02158;CHAMOUILLE
02159;CHAMPS
02160;CHAOURSE
02161;LA CHAPELLE MONTHODON
02162;LA CHAPELLE S CHEZY
02163;CHARLY
02164;LE CHARMEL
02165;CHARMES
02166;CHARTEVES
02167;CHASSEMY
02168;CHATEAU THIERRY
02169;CHATILLON LES SONS
02170;CHATILLON S OISE
02171;CHAUDARDES
02172;CHAUDUN
02173;CHAUNY
02174;CHAVIGNON
02175;CHAVIGNY
02176;CHAVONNE
02177;CHERET
02178;CHERMIZY AILLES
02179;CHERY CHARTREUVE
02180;CHERY LES POUILLY
02181;CHERY LES ROZOY
02182;CHEVENNES
02183;CHEVREGNY
02184;CHEVRESIS MONCEAU
02185;CHEZY EN ORXOIS
02186;CHEZY S MARNE
02187;CHIERRY
02188;CHIGNY
02189;CHIVRES EN LAONNOIS
02190;CHIVRES VAL
02191;CHIVY LES ETOUVELLES
02192;CHOUY
02193;CIERGES
02194;CILLY
02195;CIRY SALSOGNE
02196;CLACY ET THIERRET
02197;CLAIRFONTAINE
02198;CLAMECY
02199;CLASTRES
02200;CLERMONT LES FERMES
02201;COEUVRES ET VALSERY
02203;COINCY
02204;COINGT
02205;COLLIGIS CRANDELAIN
02206;COLONFAY
02207;COMMENCHON
02208;CONCEVREUX
02209;CONDE EN BRIE
02210;CONDE S AISNE
02211;CONDE S SUIPPE
02212;CONDREN
02213;CONNIGIS
02214;CONTESCOURT
02215;CORBENY
02216;CORCY
02217;COUCY LE CHATEAU AUFFRIQUE
02218;COUCY LES EPPES
02219;COUCY LA VILLE
02220;COULONGES COHAN
02221;COUPRU
02222;COURBES
02223;COURBOIN
02224;COURCELLES S VESLES
02225;COURCHAMPS
02226;COURMELLES
02227;COURMONT
02228;COURTEMONT VARENNES
02229;COURTRIZY ET FUSSIGNY
02230;COUVRELLES
02231;COUVRON ET AUMENCOURT
02232;COYOLLES
02233;CRAMAILLE
02234;CRAONNE
02235;CRAONNELLE
02236;CRECY AU MONT
02237;CRECY S SERRE
02238;CREPY
02239;CREZANCY
02240;CROIX FONSOMMES
02241;LA CROIX S OURCQ
02242;CROUTTES S MARNE
02243;CROUY
02244;CRUPILLY
02245;CUFFIES
02246;CUGNY
02248;CUIRIEUX
02249;CUIRY HOUSSE
02250;CUIRY LES CHAUDARDES
02251;CUIRY LES IVIERS
02252;CUISSY ET GENY
02253;CUISY EN ALMONT
02254;CUTRY
02255;CYS LA COMMUNE
02256;DAGNY LAMBERCY
02257;DALLON
02258;DAMMARD
02259;DAMPLEUX
02260;DANIZY
02261;DERCY
02262;DEUILLET
02263;DHUIZEL
02264;DIZY LE GROS
02265;DOHIS
02266;DOLIGNON
02267;DOMMIERS
02268;DOMPTIN
02269;DORENGT
02270;DOUCHY
02271;DRAVEGNY
02272;DROIZY
02273;DURY
02274;EBOULEAU
02275;EFFRY
02276;ENGLANCOURT
02277;EPAGNY
02278;EPARCY
02279;EPAUX BEZU
02280;EPIEDS
02281;L EPINE AUX BOIS
02282;EPPES
02283;ERLON
02284;ERLOY
02286;ESQUEHERIES
02287;ESSIGNY LE GRAND
02288;ESSIGNY LE PETIT
02289;ESSISES
02290;ESSOMES S MARNE
02291;ESTREES
02292;ETAMPES S MARNE
02293;ETAVES ET BOCQUIAUX
02294;ETOUVELLES
02295;ETREAUPONT
02296;ETREILLERS
02297;ETREPILLY
02298;ETREUX
02299;EVERGNICOURT
02301;FAUCOUCOURT
02302;FAVEROLLES
02303;FAYET
02304;LA FERE
02305;FERE EN TARDENOIS
02306;LA FERTE CHEVRESIS
02307;LA FERTE MILON
02308;FESMY LE SART
02309;FESTIEUX
02310;FIEULAINE
02311;FILAIN
02312;LA FLAMENGRIE
02313;FLAVIGNY LE GRAND ET BEAURAI
02315;FLAVY LE MARTEL
02316;FLEURY
02317;FLUQUIERES
02318;FOLEMBRAY
02319;FONSOMMES
02320;FONTAINE LES CLERCS
02321;FONTAINE LES VERVINS
02322;FONTAINE NOTRE DAME
02323;FONTAINE UTERTE
02324;FONTENELLE
02325;FONTENELLE EN BRIE
02326;FONTENOY
02327;FORESTE
02328;FOSSOY
02329;FOURDRAIN
02330;FRANCILLY SELENCY
02331;FRANQUEVILLE
02332;FRESNES EN TARDENOIS
02333;FRESNES
02334;FRESNOY LE GRAND
02335;FRESSANCOURT
02336;FRIERES FAILLOUEL
02337;FROIDESTREES
02338;FROIDMONT COHARTILLE
02339;GANDELU
02340;GAUCHY
02341;GERCY
02342;GERGNY
02343;GERMAINE
02344;GERNICOURT
02345;GIBERCOURT
02346;GIZY
02347;GLAND
02348;GLENNES
02349;GOUDELANCOURT LES BERRIEUX
02350;GOUDELANCOURT LES PIERREPONT
02351;GOUSSANCOURT
02352;GOUY
02353;GRANDLUP ET FAY
02354;GRANDRIEUX
02355;GRICOURT
02356;GRISOLLES
02357;GRONARD
02358;GROUGIS
02359;GRUGIES
02360;GUIGNICOURT
02361;GUISE
02362;GUIVRY
02363;GUNY
02364;GUYENCOURT
02366;HANNAPES
02367;HAPPENCOURT
02368;HARAMONT
02369;HARCIGNY
02370;HARGICOURT
02371;HARLY
02372;HARTENNES ET TAUX
02373;HARY
02374;LE HAUCOURT
02375;HAUTEVESNES
02376;HAUTEVILLE
02377;HAUTION
02378;LA HERIE
02379;LE HERIE LA VIEVILLE
02380;HINACOURT
02381;HIRSON
02382;HOLNON
02383;HOMBLIERES
02384;HOURY
02385;HOUSSET
02386;IRON
02387;ITANCOURT
02388;IVIERS
02389;JAULGONNE
02390;JEANCOURT
02391;JEANTES
02392;JONCOURT
02393;JOUAIGNES
02395;JUMENCOURT
02396;JUMIGNY
02397;JUSSY
02398;JUVIGNY
02399;JUVINCOURT ET DAMARY
02400;LAFFAUX
02401;LAIGNY
02402;LANCHY
02403;LANDIFAY ET BERTAIGNEMONT
02404;LANDOUZY LA COUR
02405;LANDOUZY LA VILLE
02406;LANDRICOURT
02407;LANISCOURT
02408;LAON
02409;LAPPION
02410;LARGNY S AUTOMNE
02411;LATILLY
02412;LAUNOY
02413;LAVAL EN LAONNOIS
02414;LAVAQUERESSE
02415;LAVERSINE
02416;LEME
02417;LEMPIRE
02418;LERZY
02419;LESCHELLES
02420;LESDINS
02421;LESGES
02422;LESQUIELLES ST GERMAIN
02423;LEUILLY SS COUCY
02424;LEURY
02425;LEUZE
02426;LEVERGIES
02427;LHUYS
02428;LICY CLIGNON
02429;LIERVAL
02430;LIESSE
02431;LIEZ
02432;LIME
02433;LISLET
02434;LIZY
02435;LOGNY LES AUBENTON
02438;LONGPONT
02439;LONGUEVAL BARBONVAL
02440;LOR
02441;LOUATRE
02442;LOUPEIGNE
02443;LUCY LE BOCAGE
02444;LUGNY
02445;LUZOIR
02446;LY FONTAINE
02447;MAAST ET VIOLAINE
02448;MACHECOURT
02449;MACOGNY
02450;MACQUIGNY
02451;MAGNY LA FOSSE
02452;MAISSEMY
02453;MAIZY
02454;LA MALMAISON
02455;MALZY
02456;MANICAMP
02457;MARCHAIS
02458;MARCHAIS EN BRIE
02459;MARCY
02460;MARCY SS MARLE
02461;MAREST DAMPCOURT
02462;MAREUIL EN DOLE
02463;MARFONTAINE
02464;MARGIVAL
02465;MARIGNY EN ORXOIS
02466;MARIZY STE GENEVIEVE
02467;MARIZY ST MARD
02468;MARLE
02469;MARLY GOMONT
02470;MARTIGNY
02471;MARTIGNY COURPIERRE
02472;MAUREGNY EN HAYE
02473;MAYOT
02474;MENNESSIS
02475;MENNEVILLE
02476;MENNEVRET
02477;MERCIN ET VAUX
02478;MERLIEUX ET FOUQUEROLLES
02479;MERVAL
02480;MESBRECOURT RICHECOURT
02481;MESNIL ST LAURENT
02482;MEURIVAL
02483;MEZIERES S OISE
02484;MEZY MOULINS
02485;MISSY AUX BOIS
02486;MISSY LES PIERREPONT
02487;MISSY S AISNE
02488;MOLAIN
02489;MOLINCHART
02490;MONAMPTEUIL
02491;MONCEAU LE NEUF ET FAUCOUZY
02492;MONCEAU LES LEUPS
02493;MONCEAU LE WAAST
02494;MONCEAU S OISE
02495;MONDREPUIS
02496;MONNES
02497;MONS EN LAONNOIS
02498;MONTAIGU
02499;MONTBAVIN
02500;MONTBREHAIN
02501;MONTCHALONS
02502;MONTCORNET
02503;MONT D ORIGNY
02504;MONTESCOURT LIZEROLLES
02505;MONTFAUCON
02506;MONTGOBERT
02507;MONTGRU ST HILAIRE
02508;MONTHENAULT
02509;MONTHIERS
02510;MONTHUREL
02511;MONTIGNY EN ARROUAISE
02512;MONTIGNY L ALLIER
02513;MONTIGNY LE FRANC
02514;MONTIGNY LENGRAIN
02515;MONTIGNY LES CONDE
02516;MONTIGNY SS MARLE
02517;MONTIGNY S CRECY
02518;MONTLEVON
02519;MONTLOUE
02520;MONT NOTRE DAME
02521;MONTREUIL AUX LIONS
02522;MONT ST JEAN
02523;MONT ST MARTIN
02524;MONT ST PERE
02525;MORCOURT
02526;MORGNY EN THIERACHE
02527;MORSAIN
02528;MORTEFONTAINE
02529;MORTIERS
02530;MOULINS
02531;MOUSSY VERNEUIL
02532;MOY DE L AISNE
02533;MURET ET CROUTTES
02534;MUSCOURT
02535;NAMPCELLES LA COUR
02536;NAMPTEUIL SS MURET
02537;NANTEUIL LA FOSSE
02538;NANTEUIL NOTRE DAME
02539;NAUROY
02540;NESLES LA MONTAGNE
02541;NEUFCHATEL S AISNE
02542;NEUFLIEUX
02543;NEUILLY ST FRONT
02544;NEUVE MAISON
02545;LA NEUVILLE BOSMONT
02546;LA NEUVILLE EN BEINE
02547;LA NEUVILLE HOUSSET
02548;LA NEUVILLE LES DORENGT
02549;NEUVILLE ST AMAND
02550;NEUVILLE S AILETTE
02551;NEUVILLE S MARGIVAL
02552;NEUVILLETTE
02553;NIZY LE COMTE
02554;NOGENTEL
02555;NOGENT L ARTAUD
02556;NOIRCOURT
02557;NOROY S OURCQ
02558;LE NOUVION EN THIERACHE
02559;NOUVION ET CATILLON
02560;NOUVION LE COMTE
02561;NOUVION LE VINEUX
02562;NOUVRON VINGRE
02563;NOYALES
02564;NOYANT ET ACONIN
02565;OEUILLY
02566;OGNES
02567;OHIS
02568;OIGNY EN VALOIS
02569;OISY
02570;OLLEZY
02571;OMISSY
02572;ORAINVILLE
02573;ORGEVAL
02574;ORIGNY EN THIERACHE
02575;ORIGNY STE BENOITE
02576;OSLY COURTIL
02577;OSTEL
02578;OULCHES LA VALLEE FOULON
02579;OULCHY LA VILLE
02580;OULCHY LE CHATEAU
02581;PAARS
02582;PAISSY
02583;PANCY COURTECON
02584;PAPLEUX
02585;PARCY ET TIGNY
02586;PARFONDEVAL
02587;PARFONDRU
02588;PARGNAN
02589;PARGNY FILAIN
02590;PARGNY LA DHUYS
02591;PARGNY LES BOIS
02592;PARPEVILLE
02593;PASLY
02594;PASSY EN VALOIS
02595;PASSY S MARNE
02596;PAVANT
02597;PERLES
02598;PERNANT
02599;PIERREMANDE
02600;PIERREPONT
02601;PIGNICOURT
02602;PINON
02604;PITHON
02605;PLEINE SELVE
02606;LE PLESSIER HULEU
02607;PLOISY
02608;PLOMION
02609;PLOYART ET VAURSEINE
02610;POMMIERS
02612;PONT ARCY
02613;PONTAVERT
02614;PONTRU
02615;PONTRUET
02616;PONT ST MARD
02617;POUILLY S SERRE
02618;PREMONT
02619;PREMONTRE
02620;PRESLES ET BOVES
02621;PRESLES ET THIERNY
02622;PRIEZ
02623;PRISCES
02624;PROISY
02625;PROIX
02626;PROUVAIS
02627;PROVISEUX ET PLESNOY
02628;PUISEUX EN RETZ
02629;PUISIEUX ET CLANLIEU
02631;QUIERZY
02632;QUINCY BASSE
02633;QUINCY SS LE MONT
02634;RAILLIMONT
02635;RAMICOURT
02636;REGNY
02637;REMAUCOURT
02638;REMIES
02639;REMIGNY
02640;RENANSART
02641;RENNEVAL
02642;RESIGNY
02643;RESSONS LE LONG
02644;RETHEUIL
02645;REUILLY SAUVIGNY
02646;REVILLON
02647;RIBEAUVILLE
02648;RIBEMONT
02649;ROCOURT ST MARTIN
02650;ROCQUIGNY
02651;ROGECOURT
02652;ROGNY
02653;ROMENY S MARNE
02654;ROMERY
02655;RONCHERES
02656;ROUCY
02657;ROUGERIES
02658;ROUPY
02659;ROUVROY
02660;ROUVROY S SERRE
02661;ROYAUCOURT ET CHAILVET
02662;ROZET ST ALBIN
02663;ROZIERES S CRISE
02664;ROZOY BELLEVALLE
02665;GRAND ROZOY
02666;ROZOY S SERRE
02667;SACONIN ET BREUIL
02668;SAINS RICHAUMONT
02669;ST AGNAN
02670;ST ALGIS
02671;ST AUBIN
02672;ST BANDRY
02673;ST CHRISTOPHE A BERRY
02674;ST CLEMENT
02675;STE CROIX
02676;ST ERME OUTRE ET RAMECOURT
02677;ST EUGENE
02678;STE GENEVIEVE
02679;ST GENGOULPH
02680;ST GOBAIN
02681;ST GOBERT
02682;ST MARD
02683;ST MARTIN RIVIERE
02684;ST MICHEL
02685;ST NICOLAS AUX BOIS
02686;ST PAUL AUX BOIS
02687;ST PIERRE AIGLE
02688;ST PIERRE LES FRANQUEVILLE
02689;ST PIERREMONT
02690;STE PREUVE
02691;ST QUENTIN
02693;ST REMY BLANZY
02694;ST SIMON
02695;ST THIBAUT
02696;ST THOMAS
02697;SAMOUSSY
02698;SANCY LES CHEMINOTS
02699;SAPONAY
02701;SAULCHERY
02702;SAVY
02703;SEBONCOURT
02704;SELENS
02705;LA SELVE
02706;SEPTMONTS
02707;SEPTVAUX
02708;SEQUEHART
02709;SERAIN
02710;SERAUCOURT LE GRAND
02711;SERCHES
02712;SERGY
02713;SERINGES ET NESLES
02714;SERMOISE
